システム	システム	システム	system	system	system	31352
構造	構造	構造	structure	structure	structure	19228
表面	表面	表面	surface	surface	surface	18557
効果	効果	効果	effect	effect	effect	16468
データ	データ	データ	data	data	datum	16214
解析	解析	解析	analysis	analysis	analysis	15706
技術	技術	技術	technology	technology	technology	15631
開発	開発	開発	development	development	development	13002
設計	設計	設計	design	design	design	12529
機能	機能	機能	function	function	function	11856
評価	評価	評価	evaluation	evaluation	evaluation	11293
細胞	細胞	細胞	cell	cell	cell	11286
細胞	細胞	細胞	cells	cells	cell	10803
濃度	濃度	濃度	concentration	concentration	concentration	10783
情報	情報	情報	information	information	information	10471
性能	性能	性能	performance	performance	performance	9482
特徴	特徴	特徴	features	features	feature	8485
影響	影響	影響	effect	effect	effect	7927
効果	効果	効果	effects	effects	effect	7498
成長	成長	成長	growth	growth	growth	7245
活性	活性	活性	activity	activity	activity	7210
イオン	イオン	イオン	ion	ion	ion	7040
ガス	ガス	ガス	gas	gas	gas	6771
手術	手術	手術	operation	operation	operation	6308
症例	症例	症例	case	case	case	6239
発現	発現	発現	expression	expression	expression	6145
症例	症例	症例	cases	cases	case	6121
療法	療法	療法	therapy	therapy	therapy	6022
投与	投与	投与	administration	administration	administration	5960
分析	分析	分析	analysis	analysis	analysis	5906
速度	速度	速度	rate	rate	rate	5788
レベル	レベル	レベル	level	level	level	5609
ため	ため	ため	order	order	order	5587
機能	機能	機能	functions	functions	function	5372
強度	強度	強度	strength	strength	strength	5258
吸収	吸収	吸収	absorption	absorption	absorption	5175
システム	システム	システム	systems	systems	system	5034
影響	影響	影響	effects	effects	effect	4947
応用	応用	応用	application	application	application	4870
応力	応力	応力	stress	stress	stress	4690
感染	感染	感染	infection	infection	infection	4671
場合	場合	場合	case	case	case	4562
目的	目的	目的	purpose	purpose	purpose	4561
利用	利用	利用	utilization	utilization	utilization	4528
方式	方式	方式	system	system	system	4526
構造	構造	構造	structures	structures	structure	4505
照射	照射	照射	irradiation	irradiation	irradiation	4422
検出	検出	検出	detection	detection	detection	4312
イオン	イオン	イオン	ions	ions	ion	4276
関数	関数	関数	function	function	function	4179
パターン	パターン	パターン	pattern	pattern	pattern	4037
サイズ	サイズ	サイズ	size	size	size	3957
方法	方法	方法	methods	methods	method	3947
出力	出力	出力	output	output	output	3868
強度	強度	強度	intensity	intensity	intensity	3860
所見	所見	所見	findings	findings	finding	3820
作用	作用	作用	action	action	action	3811
速度	速度	速度	velocity	velocity	velocity	3751
測定	測定	測定	measurements	measurements	measurement	3744
品質	品質	品質	quality	quality	quality	3681
調査	調査	調査	investigation	investigation	investigation	3599
再発	再発	再発	recurrence	recurrence	recurrence	3543
位置	位置	位置	position	position	position	3533
施設	施設	施設	facilities	facilities	facility	3470
空気	空気	空気	air	air	air	3469
皮膚	皮膚	皮膚	skin	skin	skin	3443
炭素	炭素	炭素	carbon	carbon	carbon	3439
検査	検査	検査	inspection	inspection	inspection	3436
パルス	パルス	パルス	pulse	pulse	pulse	3413
空間	空間	空間	space	space	space	3392
予後	予後	予後	prognosis	prognosis	prognosis	3354
疾患	疾患	疾患	diseases	diseases	disease	3353
窒素	窒素	窒素	nitrogen	nitrogen	nitrogen	3324
試料	試料	試料	samples	samples	sample	3324
組成	組成	組成	composition	composition	composition	3313
適用	適用	適用	application	application	application	3257
センサ	センサ	センサ	sensor	sensor	sensor	3213
波長	波長	波長	wavelength	wavelength	wavelength	3200
速度	速度	速度	speed	speed	speed	3132
酸化	酸化	酸化	oxidation	oxidation	oxidation	3070
入力	入力	入力	input	input	input	3054
原理	原理	原理	principle	principle	principle	3010
状況	状況	状況	situation	situation	situation	3008
